rating,name,category
261,The Distillery Store,FOOD & DRINK
262,The Green Door Market,FOOD & DRINK
263,Cabinteely House,SIGHTS & LANDMARKS
264,St. Joseph's Church,SIGHTS & LANDMARKS
265,Donnybrook Parish - Church of the Sacred Heart,SIGHTS & LANDMARKS
266,St. Mary of the Angels,SIGHTS & LANDMARKS
267,Bernardo O'Higgins Statue,SIGHTS & LANDMARKS
268,Liberty Hall,SIGHTS & LANDMARKS
269,Connolly Station,SIGHTS & LANDMARKS
270,The Ark,MUSEUMS
271,St. Audoen's Park,NATURE & PARKS
272,Funky Monkeys Clarehall,FUN & GAMES
273,Thomas Davis Statue,SIGHTS & LANDMARKS
274,Brickfield Park,NATURE & PARKS
275,St Canice's Church,SIGHTS & LANDMARKS
276,Gravity Climbing Centre,FUN & GAMES
277,Dublin Unitarian Church,SIGHTS & LANDMARKS
278,St. Patrick's Tower,SIGHTS & LANDMARKS
279,Loughshinny Beach,NATURE & PARKS
280,Chariot of Life,SIGHTS & LANDMARKS
281,St. Michan's Roman Catholic Church,SIGHTS & LANDMARKS
282,Patrick Kavanagh statue,SIGHTS & LANDMARKS
283,Dail Eireann,SIGHTS & LANDMARKS
284,Go Bus,TRANSPORTATION
285,Viking Longboat Sculpture,SIGHTS & LANDMARKS
286,Church of Our Lady of Perpetual Succour,SIGHTS & LANDMARKS
287,Central Bank of Ireland,MUSEUMS
288,The Ambassador Event Centre,SIGHTS & LANDMARKS
289,Moore Street Mall,SHOPPING
290,The Doorway Gallery,MUSEUMS
291,Four Angels Fountain,SIGHTS & LANDMARKS
292,Sir Arthur Edward Guinness Statue,SIGHTS & LANDMARKS
293,Grattan Bridge,SIGHTS & LANDMARKS
294,The Proclamation Sculpture,SIGHTS & LANDMARKS
295,William Smith O'Brien Statue,SIGHTS & LANDMARKS
296,Newman House,SIGHTS & LANDMARKS
297,Sunlight Chambers,SIGHTS & LANDMARKS
298,Dublin Tunnel,TRANSPORTATION
299,Project Arts Centre,MUSEUMS
300,Brendan Behan Sculpture,SIGHTS & LANDMARKS
301,Marlay House,SIGHTS & LANDMARKS
302,Cruagh Wood,NATURE & PARKS
303,Parnell Park,SIGHTS & LANDMARKS
304,Saint Enda's Park,NATURE & PARKS
305,4 Kings Casino & Card Club,CASINOS & GAMBLING
306,Thomas Moore Statue,SIGHTS & LANDMARKS
307,Saint Peter's Church,SIGHTS & LANDMARKS
308,George's Dock,SIGHTS & LANDMARKS
309,Dunsink Observatory,MUSEUMS
310,Church of Mary Immaculate,SIGHTS & LANDMARKS
311,St. Michael's Church,SIGHTS & LANDMARKS
312,Dublin Tourism Centre,TRAVELER RESOURCES
313,Albert College Park/Hampstead Park,NATURE & PARKS
314,Triumphal Arch,SIGHTS & LANDMARKS
315,Mount Argus Church,SIGHTS & LANDMARKS
316,Powerscourt House,SIGHTS & LANDMARKS
317,St. Werburgh's Church,SIGHTS & LANDMARKS
318,Dublin Mosque,SIGHTS & LANDMARKS
319,Meeting Place Sculpture,SIGHTS & LANDMARKS
320,Skyline Croke Park,SIGHTS & LANDMARKS
321,Irishtown Nature Reserve,NATURE & PARKS
322,Three Fates,SIGHTS & LANDMARKS
323,Church of Our Lady of Good Counsel,SIGHTS & LANDMARKS
324,Grand Lodge Of Ireland,SIGHTS & LANDMARKS
325,St. Thomas Indian Orthodox Church,SIGHTS & LANDMARKS
326,"Holy Apostles Peter and Paul, Russian Orthodox Church",SIGHTS & LANDMARKS
327,Lambert Puppet Theatre,CONCERTS & SHOWS
328,Axis,CONCERTS & SHOWS
329,The Victims Statues,SIGHTS & LANDMARKS
330,St Mary's Church,SIGHTS & LANDMARKS
331,A Store Is Born,SHOPPING
332,Goldenbridge Graveyard,SIGHTS & LANDMARKS
333,House of the Dead,SIGHTS & LANDMARKS
334,Waterways Ireland Centre,TRAVELER RESOURCES
335,St. Joseph's Parish Church,SIGHTS & LANDMARKS
336,Boulevard Gallery,MUSEUMS
337,Gallery Zozimus,MUSEUMS
338,Nativity of the Blessed Virgin Mary Church,SIGHTS & LANDMARKS
339,Miraculous Medal Church,SIGHTS & LANDMARKS
340,St. Mary's Abbey,SIGHTS & LANDMARKS
341,Heuston Station,SIGHTS & LANDMARKS
342,Timepiece Antique Clocks,SHOPPING
343,Our Lady Queen of Peace,SIGHTS & LANDMARKS
344,Ha'penny Flea Market,SHOPPING
345,Blessed Sacrament Chapel,SIGHTS & LANDMARKS
346,Hemp Company of Dublin,SIGHTS & LANDMARKS
347,Mary Immaculate Church,SIGHTS & LANDMARKS
348,Wilde Vintage Dublin,SHOPPING
349,Kerlin Gallery,MUSEUMS
350,Church of the Assumption Booterstown/Convent of Mercy Booterstown,SIGHTS & LANDMARKS
351,Goethe Institut,MUSEUMS
352,St Kevins Park,NATURE & PARKS
353,Church of the Good Shepherd,SIGHTS & LANDMARKS
354,Church of St James,SIGHTS & LANDMARKS
355,Church of the Holy Name,SIGHTS & LANDMARKS
356,Poppintree Park,NATURE & PARKS
357,Harvey Nichols (Dublin) Ltd,SHOPPING
358,Palmerston Park,NATURE & PARKS
359,World Poverty Stone,SIGHTS & LANDMARKS
360,Rathgar Methodist Church,SIGHTS & LANDMARKS
361,Rosie Hackett Bridge,SIGHTS & LANDMARKS
362,Saint Catherine of Alexandria,SIGHTS & LANDMARKS
363,George Salmon Statue,SIGHTS & LANDMARKS
364,St. Stephen's Church,SIGHTS & LANDMARKS
365,The 40 Steps,SIGHTS & LANDMARKS
366,Deansgrange Library,SIGHTS & LANDMARKS
367,Royal Irish Academy,SIGHTS & LANDMARKS
368,Broom Bridge,SIGHTS & LANDMARKS
369,Victorian Chapel,SIGHTS & LANDMARKS
370,Church of the Holy Family,SIGHTS & LANDMARKS
371,Tolka Valley Park,NATURE & PARKS
372,Lord Edward Street,SIGHTS & LANDMARKS
373,St. Joseph`s Church,SIGHTS & LANDMARKS
374,Holy Cross Church,SIGHTS & LANDMARKS
375,Oliver Goldsmith Statue,SIGHTS & LANDMARKS
376,Zion Church,SIGHTS & LANDMARKS
377,Nutgrove Shopping Centre,SHOPPING
378,"Tailors' Hall, Back Lane, Dublin 8",SIGHTS & LANDMARKS
379,Tourist Office Dublin,TRAVELER RESOURCES
380,Sandford Parish Church,SIGHTS & LANDMARKS
381,Saint Laurence's Church,SIGHTS & LANDMARKS
382,Our Lady of Dolours Church,SIGHTS & LANDMARKS
383,Matt Talbot Statue,SIGHTS & LANDMARKS
384,Racing Tours Ireland,NATURE & PARKS
385,Santry Community Garden,NATURE & PARKS
386,Dionysus Statue,SIGHTS & LANDMARKS
387,Talbot Memorial Bridge,SIGHTS & LANDMARKS
388,St Thomas the Apostle Church,SIGHTS & LANDMARKS
389,Rathmines Library,TRAVELER RESOURCES
390,Christ Church Rathgar,SIGHTS & LANDMARKS
391,Dame Lane,SIGHTS & LANDMARKS
392,St Bartholomew's Church,SIGHTS & LANDMARKS
393,The Church of Jesus Christ of Latter-day Saints,SIGHTS & LANDMARKS
